#,site,type,action,title,excerpt,content,date,author,slug,guid,status,order,parent,password,categories,tags,meta-url,subject,regex,replace-text,name,value,new-title,new-name
#,,,,,,,,,,,,,,,,,,,,,,,,
#,commented,rows,are,not,processed,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, guid, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,prepend,Test Page 1,This is ,,,,,,,,,,,,,,,,,,,
,test-batch,page,prepend,Test Page 1,,This is ,,,,,,,,,,,,,,,,,,
,test-batch,page,prepend,Test Page 1,** ,** ,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,append,Test Page 1,.,,,,,,,,,,,,,,,,,,,
,test-batch,page,append,Test Page 1,,.,,,,,,,,,,,,,,,,,,
,test-batch,page,append,Test Page 1, **, **,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,delete,Test Page 7,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, new-title",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,rename,Test Page 1,,,,,,,,,,,,,,,,,,,Test Page One,
,test-batch,page,rename,Test Page One,,,,,,,,,,,,,,,,,,,Test Page 1,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, subject, regex, replace-text",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,grep,Test Page 1,,,,,,,,,,,,,,excerpt,TP,Test Page,,,,
,test-batch,page,grep,,,,,,,,,,,,,,,excerpt,TP,Test Page,,,,
,test-batch,page,grep,Test Page 1,,,,,,,,,,,,,,content,TP,Test Page,,,,
,test-batch,page,grep,,,,,,,,,,,,,,,content,TP,Test Page,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name, value",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,add-meta,Test Page 1,,,,,,,,,,,,,,,,,new-key,new-value,,
#,,,,,,,,,,,,,,,,,,,,,new-key-1,new-value,,
#,"site, type, action, title, name, value",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,update-meta,Test Page 1,,,,,,,,,,,,,,,,,new-key,new-value-a,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,delete-meta,Test Page 1,,,,,,,,,,,,,,,,,new-key,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,copy-meta,Test Page 1,,,,,,,,,,,,,,,,,new-key-1,,,new-key
